gene,logFC,padj,scores
Iigp1,6.277835,3.5948351556066323e-12,8.222248
Nlrc5,3.7815418,2.5347733107809808e-11,7.898775
Camk1d,1.0666122,3.9694635025628835e-11,7.791609
Stat1,3.195089,1.3295586170548185e-10,7.571358
Rnf213,2.8896587,2.33271729023727e-10,7.4740534
Samhd1,2.432174,1.1370701146752738e-09,7.2419686
Parp14,2.5891514,1.3234898780908115e-09,7.203178
Trim30a,2.0324488,3.944598282734597e-09,7.021718
Ptprc,1.5015813,1.656259517031278e-08,6.8047547
Oasl2,3.65722,5.411097193039904e-08,6.6108027
H2-K1,1.828081,5.411097193039904e-08,6.6075153
Ifi211,3.317379,9.19440503261255e-08,6.5174427
Stat2,2.6202767,4.19417288376715e-07,6.2452526
Gm42418,0.49435303,4.19417288376715e-07,6.230131
Cers6,2.9090974,4.51062050317066e-07,6.211065
Etv6,1.6070371,1.0877005160686183e-06,6.0637927
Cd74,2.237886,5.311074494018506e-06,5.790945
Pde7b,1.8862996,5.311074494018506e-06,5.7889724
Herc6,2.2391202,7.817461588283163e-06,5.710077
Gbp7,2.4403703,1.3601057077496425e-05,5.602253
Ifitm3,2.8561842,1.7832122076044163e-05,5.5489984
Parp11,2.597262,1.987930350382436e-05,5.5240145
Ly6e,1.7438965,2.428630227677149e-05,5.4773345
Gm4951,2.0100546,3.164299114610778e-05,5.4194775
Mndal,1.6632059,3.5597853348214436e-05,5.393179
Gbp5,4.876386,4.25265399613002e-05,5.3511014
Gbp2,5.0683913,4.8533528129266994e-05,5.3175707
March1,1.4990964,5.4657769310292535e-05,5.291272
Parp9,2.438752,7.989702387887545e-05,5.2123766
Nampt,2.1130483,8.556194756859855e-05,5.1952825
Zc3hav1,2.023032,8.601415250652512e-05,5.1900225
Gbp4,4.996275,0.0001017071439091982,5.1545196
Itpr1,2.9005673,0.00012520245462598764,5.107182
Ranbp2,1.6407543,0.0001907362044598891,5.0111923
Ifi203,1.5410928,0.0001907362044598891,5.007905
Ifi204,1.6436597,0.0001907362044598891,5.0046177
Arid5b,1.956394,0.0001936985143113145,4.9973855
H2-D1,1.2408451,0.00020706444322613857,4.980949
Capza2,1.5773929,0.00021544684139012372,4.9697723
Tap1,3.643892,0.0002447969789846346,4.941501
Fgl2,3.6562366,0.00026250868489029433,4.920462
H2-Ab1,1.9617532,0.00026250868489029433,4.9178324
B2m,0.8864682,0.0002842178419988373,4.8895617
Irf1,2.44912,0.00034439712913421263,4.8468266
Ms4a4c,4.002375,0.000398829375274672,4.813296
Sp100,1.8031195,0.0004287828477327407,4.7929144
Gm20559,3.6040163,0.0007956559155647829,4.6502447
Gbp8,4.743375,0.0008717645573423997,4.6259184
Ifi213,2.377289,0.000982978725949791,4.595675
Cd47,1.6892108,0.000982978725949791,4.5910726
Ccl12,2.1604896,0.0010504141502396928,4.573979
Slfn5,2.7517786,0.0012173141191177417,4.540448
Actb,0.93933326,0.0012408973868271787,4.5338736
Ascc3,1.5112708,0.0013336717536559387,4.516122
Zc3h7a,1.4619826,0.0013596810506892605,4.509547
Pim1,2.6270099,0.001470179242191453,4.490481
Irgm1,3.2877696,0.001625474948896646,4.4641824
Cdk14,1.3026893,0.001980920996051262,4.416845
Tapbp,2.0363004,0.0023772624912590423,4.370165
Ifi209,2.8304873,0.002431389441621879,4.3629327
Slco3a1,4.9806013,0.0026527323605894117,4.340579
Xdh,2.383905,0.0033625001382808816,4.2800922
Cd274,3.6326728,0.003971882006403884,4.2406445
Pik3ap1,1.0428935,0.00466814481070821,4.193307
Cd52,2.8211691,0.0046784502898896,4.190677
Ifi205,29.820913,0.0062437708414826345,4.1183558
Znfx1,2.3455632,0.006972495157241217,4.0907426
